,Unnamed: 0,C1_NM,C2_NM,DT,연도
0,0,국가유공자(본인),취업자(일을 한다),59.2,2018
1,1,국가유공자(본인),향후 구직의사 있음(학생 구직자 등),7.0,2018
2,2,국가유공자(본인),향후 구직의사 없음(연로자 구직단념자 등),33.8,2018
3,3,국가유공자(유족),취업자(일을 한다),29.3,2018
4,4,국가유공자(유족),향후 구직의사 있음(학생 구직자 등),4.1,2018
5,5,국가유공자(유족),향후 구직의사 없음(연로자 구직단념자 등),66.5,2018
6,6,참전유공자,취업자(일을 한다),23.6,2018
7,7,참전유공자,향후 구직의사 있음(학생 구직자 등),3.6,2018
8,8,참전유공자,향후 구직의사 없음(연로자 구직단념자 등),72.9,2018
9,9,고엽제,취업자(일을 한다),23.0,2018
10,10,고엽제,향후 구직의사 있음(학생 구직자 등),11.2,2018
11,11,고엽제,향후 구직의사 없음(연로자 구직단념자 등),65.8,2018
12,12,특수임무유공자,취업자(일을 한다),67.1,2018
13,13,특수임무유공자,향후 구직의사 있음(학생 구직자 등),6.0,2018
14,14,특수임무유공자,향후 구직의사 없음(연로자 구직단념자 등),26.9,2018
0,0,국가유공자(본인),취업자(일을 한다),36.6,2021
1,1,국가유공자(본인),향후 구직의사 있음(학생 구직자 등),2.9,2021
2,2,국가유공자(본인),향후 구직의사 없음(연로자 구직단념자 등),60.5,2021
3,3,국가유공자(유족),취업자(일을 한다),28.8,2021
4,4,국가유공자(유족),향후 구직의사 있음(학생 구직자 등),2.7,2021
5,5,국가유공자(유족),향후 구직의사 없음(연로자 구직단념자 등),68.6,2021
6,6,참전유공자,취업자(일을 한다),23.8,2021
7,7,참전유공자,향후 구직의사 있음(학생 구직자 등),1.1,2021
8,8,참전유공자,향후 구직의사 없음(연로자 구직단념자 등),75.1,2021
9,9,고엽제,취업자(일을 한다),24.1,2021
10,10,고엽제,향후 구직의사 있음(학생 구직자 등),1.8,2021
11,11,고엽제,향후 구직의사 없음(연로자 구직단념자 등),74.1,2021
12,12,특수임무유공자,취업자(일을 한다),62.0,2021
13,13,특수임무유공자,향후 구직의사 있음(학생 구직자 등),4.5,2021
14,14,특수임무유공자,향후 구직의사 없음(연로자 구직단념자 등),33.5,2021
0,0,국가유공자(본인),취업자(일을 한다),35.9,2024
1,1,국가유공자(본인),향후 구직의사 있음(학생 구직자 등),5.3,2024
2,2,국가유공자(본인),향후 구직의사 없음(연로자 구직단념자 등),58.8,2024
3,3,국가유공자(유족),취업자(일을 한다),30.8,2024
4,4,국가유공자(유족),향후 구직의사 있음(학생 구직자 등),4.1,2024
5,5,국가유공자(유족),향후 구직의사 없음(연로자 구직단념자 등),65.1,2024
6,6,참전유공자,취업자(일을 한다),18.9,2024
7,7,참전유공자,향후 구직의사 있음(학생 구직자 등),3.2,2024
8,8,참전유공자,향후 구직의사 없음(연로자 구직단념자 등),77.9,2024
9,9,고엽제,취업자(일을 한다),18.0,2024
10,10,고엽제,향후 구직의사 있음(학생 구직자 등),2.6,2024
11,11,고엽제,향후 구직의사 없음(연로자 구직단념자 등),79.4,2024
12,12,특수임무유공자,취업자(일을 한다),69.6,2024
13,13,특수임무유공자,향후 구직의사 있음(학생 구직자 등),5.3,2024
14,14,특수임무유공자,향후 구직의사 없음(연로자 구직단념자 등),25.1,2024
